region;ejecutivo;distr;venta_prom
PACIFICO;Ejecutivo PACIFICO;DISTRIJASS TULUA;1016389
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;695534
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;524271
COSTA 1;Ejecutivo COSTA 1;DISTRIABASTOS;2737020
ANTIOQUIA;Ejecutivo ANTIOQUIA;MAXTIENDAS TAT CAUCASIA;904512
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;786999
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1000978
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;62871
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;10153922
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3474519
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;651019
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;2212809
COSTA 2;Ejecutivo COSTA 2;SAN ISIDRO SANTA MARTA;4307261
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;5752707
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;2193176
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;237894
CENTRO;Ejecutivo CENTRO;COMERCIAL FENIX S.A.S;1560664
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3477239
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;2064241
ANTIOQUIA;Ejecutivo ANTIOQUIA;ZONA 2;6813227
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;15488
COSTA 2;Ejecutivo COSTA 2;DISAM VALLEDUPAR;5190827
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;1804662
LLANOS;Ejecutivo LLANOS;LA NIEVE VILLAVICENCIO;1352763
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;5859419
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO CUCUTA;817730
PACIFICO;Ejecutivo PACIFICO;DULCES Y DULCES;467023
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;4124092
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;530816
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;3597617
COSTA 1;Ejecutivo COSTA 1;GRUPO LITORAL;1245397
EJE CAFETERO;Ejecutivo EJE CAFETERO;MULTIVENTAS EJE;8164836
LLANOS;Ejecutivo LLANOS;LA NIEVE YOPAL;241830
ANTIOQUIA;Ejecutivo ANTIOQUIA;EPA;7669055
ORIENTE;Ejecutivo ORIENTE;DISAM BARRANCABERMEJA;1091372
EJE CAFETERO;Ejecutivo EJE CAFETERO;DISTRIJAS EJE;17900
COSTA 1;Ejecutivo COSTA 1;DELTA CARTAGENA;3887177
ANTIOQUIA;Ejecutivo ANTIOQUIA;MARCAS Y DISTRIBUCIONES SAS;2200676
LLANOS;Ejecutivo LLANOS;LA NIEVE DUITAMA;83098
COSTA 2;Ejecutivo COSTA 2;DISAM SANTA MARTA;2537563
ANTIOQUIA;Ejecutivo ANTIOQUIA;SURTIVENTAS;179013
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;2247084
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;172889
ORIENTE;Ejecutivo ORIENTE;PASTOR JULIO DELGADO BUCARAMANGA;1062350
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;167556
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;1561945
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1162593
PACIFICO;Ejecutivo PACIFICO;DISTRIYA LTDA;232003
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3735440
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;585857
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;SURTILIDER;618978
ORIENTE;Ejecutivo ORIENTE;DISAM BUCARAMANGA;1966538
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;ZULUAGA Y SOTO;6398484
COSTA 1;Ejecutivo COSTA 1;DELTA BARRANQUILLA;3032082
PACIFICO;Ejecutivo PACIFICO;DISTRIJAS CALI;803434
CUNDINAMARCA;Ejecutivo CUNDINAMARCA;CCENECA COMERCIAL SAS;140065
