pi_per_n1;pi_per_n2;di_region;di_ejecutivo;di_codigo;di_nombre;producto_elemento;zi_tipo;zi_clase;zi_encargado_cod;zi_encargado_nom;zi_encargado_tipo;zi_encargado_clase;zi_encargado_alt_cod;zi_encargado_alt_nom;zi_codigo;zi_nombre;venta_meta;impactos_meta;volumen_meta
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D063;Distribuidora D063;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D063-2215;VENDEDOR D063-2215;732035;24;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D030;Distribuidora D030;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D030-1032408840;VENDEDOR D030-1032408840;3058853;75;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D069;Distribuidora D069;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D069-0007;VENDEDOR D069-0007;1954045;31;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D007;Distribuidora D007;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D007-0047;VENDEDOR D007-0047;882092;36;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D007;Distribuidora D007;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D007-0041;VENDEDOR D007-0041;1121925;46;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-diazpie;VENDEDOR D003-diazpie;79914;2;0
2025;3;ORIENTE;Ejecutivo ORIENTE;D056;Distribuidora D056;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D056-32;VENDEDOR D056-32;10357000;24;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D005;Distribuidora D005;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D005-55;VENDEDOR D005-55;4314060;86;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D003;Distribuidora D003;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D003-nikpar;VENDEDOR D003-nikpar;827503;35;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D046;Distribuidora D046;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D046-877;VENDEDOR D046-877;2212809;13;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D037;Distribuidora D037;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D037-90094;VENDEDOR D037-90094;4717187;105;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D004;Distribuidora D004;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D004-0087;VENDEDOR D004-0087;8492552;77;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D044;Distribuidora D044;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D044-6738;VENDEDOR D044-6738;2237039;19;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D063;Distribuidora D063;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D063-205;VENDEDOR D063-205;325657;13;0
2025;3;CENTRO;Ejecutivo CENTRO;D057;Distribuidora D057;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D057-250;VENDEDOR D057-250;2163188;89;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D005;Distribuidora D005;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D005-10;VENDEDOR D005-10;3477239;74;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D038;Distribuidora D038;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D038-2027;VENDEDOR D038-2027;3211487;104;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D004;Distribuidora D004;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D004-0069;VENDEDOR D004-0069;10838966;134;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D008;Distribuidora D008;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D008-EC107;VENDEDOR D008-EC107;16265;1;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D024;Distribuidora D024;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D024-2000105003;VENDEDOR D024-2000105003;7303396;129;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D044;Distribuidora D044;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D044-3630;VENDEDOR D044-3630;1804662;19;0
2025;3;LLANOS;Ejecutivo LLANOS;D054;Distribuidora D054;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D054-1801;VENDEDOR D054-1801;1908556;70;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D005;Distribuidora D005;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D005-164;VENDEDOR D005-164;7270735;142;0
2025;3;ORIENTE;Ejecutivo ORIENTE;D055;Distribuidora D055;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D055-1266;VENDEDOR D055-1266;834085;46;0
2025;3;PACIFICO;Ejecutivo PACIFICO;D062;Distribuidora D062;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D062-460;VENDEDOR D062-460;652686;14;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D022-1098710408;VENDEDOR D022-1098710408;4339683;97;0
2025;3;CUNDINAMARCA;Ejecutivo CUNDINAMARCA;D063;Distribuidora D063;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D063-2218;VENDEDOR D063-2218;741174;29;0
2025;3;COSTA 2;Ejecutivo COSTA 2;D022;Distribuidora D022;TOTAL;MAYORISTAS;MAYORISTAS;SIN SUP;SIN SUP;;;;;D022-39045827;VENDEDOR D022-39045827;4082602;18;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D007;Distribuidora D007;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D007-0042;VENDEDOR D007-0042;1395878;61;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D051;Distribuidora D051;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D051-1059814597;VENDEDOR D051-1059814597;8981319;29;0
2025;3;LLANOS;Ejecutivo LLANOS;D064;Distribuidora D064;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D064-2308;VENDEDOR D064-2308;947903;21;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D011;Distribuidora D011;TOTAL;SUPERETES;SUPERETES;SIN SUP;SIN SUP;;;;;D011-003;VENDEDOR D011-003;9010250;83;0
2025;3;ORIENTE;Ejecutivo ORIENTE;D025;Distribuidora D025;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D025-6808105006;VENDEDOR D025-6808105006;1112323;59;0
2025;3;EJE CAFETERO;Ejecutivo EJE CAFETERO;D008;Distribuidora D008;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D008-EC104;VENDEDOR D008-EC104;17900;1;0
2025;3;COSTA 1;Ejecutivo COSTA 1;D006;Distribuidora D006;TOTAL;TIENDAS;TIENDAS;SIN SUP;SIN SUP;;;;;D006-135;VENDEDOR D006-135;3887177;97;0
2025;3;ANTIOQUIA;Ejecutivo ANTIOQUIA;D050;Distribuidora D050;TOTAL;PENDIENTE POR DATA;PENDIENTE POR DATA;SIN SUP;SIN SUP;;;;;D050-261;VENDEDOR D050-261;2200676;56;0
